,n_u,n_f,mse_loss
0,20,2000,0.019436882808804512
1,20,4000,0.026478247717022896
2,20,6000,0.022046968340873718
3,20,7000,0.027664784342050552
4,20,8000,0.02181728184223175
5,20,10000,0.026234259828925133
6,40,2000,0.02542813867330551
7,40,4000,0.024833649396896362
8,40,6000,0.022034309804439545
9,40,7000,0.00954442098736763
10,40,8000,0.39351579546928406
11,40,10000,0.027624692767858505
12,60,2000,0.03297935426235199
13,60,4000,0.036616161465644836
14,60,6000,0.02709111198782921
15,60,7000,0.05205700173974037
16,60,8000,0.0075975824147462845
17,60,10000,0.026380907744169235
18,80,2000,0.02679772675037384
19,80,4000,0.02768363244831562
20,80,6000,0.027473263442516327
21,80,7000,0.028694752603769302
22,80,8000,0.016655925661325455
23,80,10000,
24,100,2000,0.024414420127868652
25,100,4000,0.03190772235393524
26,100,6000,0.02716001681983471
27,100,7000,0.022480346262454987
28,100,8000,0.024562647566199303
29,100,10000,0.02888152375817299
30,200,2000,0.026439324021339417
31,200,4000,0.02881450206041336
32,200,6000,0.03182968124747276
33,200,7000,
34,200,8000,0.022767700254917145
35,200,10000,0.02615603245794773
